name,address,borough,zip
7-eleven,1810 Forrest Ave,Staten Island,10303
7-eleven,2 Franklin Ave,Lynbrook,11563
7-eleven,208-22 Cross Island Pkwy,Bayside,11360
7-eleven,2256 Second Ave,New York,10029
7-eleven,2282 Forest Ave,Staten Island,10303
7-eleven,250-50 Jericho Tpke,Floral Park,11001
7-eleven,2567 Broadway,New York,10025
7-eleven,287 Jericho Tpke,Floral Park,11001
7-eleven,351 Bowery,New York,10003
7-eleven,3778 Nostrand Ave,Brooklyn,11235
7-eleven,395 Flatbush Ave Ext,Brooklyn,11201
7-eleven,58-20 Francis Lewis Blvd,Oakland Gardens,11364
7-eleven,600 Columbus Ave,New York,10024
7-eleven,600 West 178th St,New York,10033
7-eleven,79-37 Metropolitan,Middle Village,11379
7-eleven,883-885 Manhattan Ave,Brooklyn,11222
7-eleven,953 Kings Hwy,Brooklyn,11223
7-eleven,99-49 Horace Harding Exp,Corona,11368
793 Wykoff Deli,7-93 Wyckoff Ave,Ridgewood,11385
810 Grand Deli,810 Grand St,Brooklyn,11211
85th Street Deli,85-01 Jamaica Ave,Woodhaven,11421
91st Ave Food Corp,89-50 92nd St,Woodhaven,11421
A & S Forest Food,607 Forest Ave,Staten Island,10310
A & T Grocery,2908 Stillwell Ave,Brooklyn,11224
A.n.s Deli,523 Grand St,New York,10002
Aaa Convenience,27 N Station Plz,Great Neck,11021
Abington Square Market,1 Abington Square,New York,10014
Adams Bagels,85-15 Main St,Jamaica,11435
Aden Food Market Corp,351 Bedford Ave,Brooklyn,11211
Aden Gourmet Deli,244 Roebling St,Brooklyn,11211
Agata & Valentina #2,64 University Place,New York,10003
Alaska Deli,108 9th Ave,New York,10011
All Night Candy Corner Corp,37-01 31st Ave,Astoria,11103
Amazing Deals,1520 Ave J,Brooklyn,11230
American Choice Gourmet Deli,218 Broadway,Brooklyn,11211
American Deli & Market,97 Franklin St,Brooklyn,11222
Americo Gas,1264 Randall Ave,Bronx,10474
Amish Farms-240 East 45 St,240 E 45th St,New York,10017
Amish Manhatten Farm Mkt,731 9th Ave,New York,10019
Amoco Gas,118-11 Atlantic Ave,Richmond Hill,11418
Amys Deli,71-06 Kissena Blvd,Flushing,11367
Andys Cafe,98 Cutter Mill Rd,Great Neck,11021
Andys Deli,106 7th Ave S,New York,10014
Andys Deli,142 9th Ave,New York,10011
Angelos Superette,3304 Amboy Rd,Staten Island,10306
Annadale Ro Corp,849 Annadale Rd,Staten Island,10312
Annadale Smoke Shop,827 Annadale Rd,Staten Island,10312
Antique Cafe And Bakery,909 3rd Ave,New York,10022
Apple Market,2541 Ocean Ave,Brooklyn,11229
Apple Tree,1225 Amsterdam Ave,New York,10027
Ara/nyu Sidestein Mkt^^,11 University Pl,New York,10003
Aramark - Capital One 27th Fl,299 Park Ave,New York,10171
Aramark - Fit,227 W 27th St,New York,10001
Aramark - Initiative/media Brands,100 W 33rd St,New York,10001
Aramark - Interchurch 1410,475 Riverside Drive,New York,10027
Aramark - Jp Morgan Chase/ Lifeworks,383 Madison Ave,New York,10017
Aramark - Mccann Worldgroup,622 3rd Ave,New York,10017
Aramark - Nyu Sidestein,5-11 University Place,New York,10001
Aramark - Nyu University Hall,110 E 14th St,New York,10003
Aramark - Nyu- Kimmel Mkt Place,60 Washington Square,New York,10012
Aramark -  Thomson Reuters,3 Times Sq,New York,10036
Aramark- Barnard College,2nd Floor,New York,10027
Aramark-jp Morgan Chase,4 Metro Tech Center,Brooklyn,11201
Aramark-nyu - Lipton Hall (hayden),33 Washington Square West,New York,10011
Aramark-nyu Palladium Cafeteria,140 E 14th St,New York,10003
Armstrong Deli,4295 Amboy Rd,Staten Island,10312
Around The Clock,149 Havemeyer St,Brooklyn,11211
Art Lovers Cafe,180 9th Ave,New York,10011
Asian Grocery,1510 Cortelyou Rd,Brooklyn,11226
Associate Mktplace (dar),44-07 Greenpoint Ave,Sunnyside,11104
Associated - Waverly Ave,367 Waverly Ave,Brooklyn,11238
Associated 802 Manhattan Ave,802 Manhattan Ave,Brooklyn,11222
Associated Supermarket,1380 Pennsylvania Ave,Brooklyn,11239
Associated Supermarket,448 Lenox Ave,New York,10037
Associated,123 Avenue C,New York,10009
Associated,37-15 31st Ave,Astoria,11103
Astoria Shell Tire Pros,43-20 Astoria Blvd,Astoria,11103
Aunt Butchies,4 South St,New York,10004
Ave U Candy Store,1507 Avenue U,Brooklyn,11229
Avenue A Classic Food,115 Avenue A,New York,10009
Avenue A Deli,24 Ave A,New York,10009
Avenue Chemist,45-01 30th Ave,Astoria,11103
Avenue U Gourmet Deli & Grocery,2950 Avenue U,Brooklyn,11229
Awesome Deli,60 Broadway,Brooklyn,11249
B & D Deli,800 Long Beach Blvd,Long Beach,11561
Bagel Buffet,510 6th Ave,New York,10011
Bagel Buster,700 Arthur Kill Rd,Staten Island,10308
Bagel Cafe,125 Fulton St,New York,10038
Bagel Smith,566 Lorimer St,Brooklyn,11211
Bagels R Us,4300 Amboy Rd,Staten Island,10312
Bagh Deli,118-22 Atlantic Ave,South Richmond Hill,11419
Barcelona Grocery,1601 Westchester,Bronx,10472
Bay Parkway Grocery,8511 Bay Parkway,Brooklyn,11214
Beach Bagel,1090 W Beech St,Long Beach,11561
Beachstone Beverage Inc,157-34 96th St,Howard Beach,11414
Beca Beverage Inc.,42-65 Kissena Blvd,Flushing,11355
Bedford Fruit Market,146 Bedford Ave,Brooklyn,11249
Bella Vita Bev Inc.,57-65 48th St,Maspeth,11378
Bens Deli Grocery,32 Ave B,New York,10009
Berry Fresh Farm,43-26 Ditmars Blvd,Astoria,11105
Best Choice Convenience,30-03 Astoria Blvd,Astoria,11102
Best Deli And Grill,201 W 242nd St,Bronx,10471
Best Deli Grocery,671 Bushwick Ave,Brooklyn,11211
Best Deli,10-01 Wyckoff Ave,Ridgewood,11385
Best Price Deli,196 1st Ave,New York,10009
Best Yet Market - East Rockaway,492 Atlantic Ave,East Rockaway,11518
Best Yet Market,19-30 37th St,Astoria,11105
Best Yet Of Great Neck,40 Great Neck Rd,Great Neck,11021
Best Yet Of Tribeca,316 Greenwich St,New York,10013
Best Yet,2187 8th Ave,New York,10026
Best Yet,3350 Hillside Ave,New Hyde Park,11040
Bethel Gourmet,79 Greenwich,New York,10014
Bg Nyc Dennis Samples,Nyc Dennis T,Nyc,11378
Big Apple Food Market,219 East Broadway,New York,10002
Big Apple,671 Grand St,Brooklyn,11211
Big Boy Gourmet,244 W 14th St,New York,10011
Big Deal Supermarket,1018 Morris Park Ave,Bronx,10462
Billys Marketplace,8-70 Cypress Ave,Ridgewood,11385
Blackstone Coffee Roasters,502 Hudson St,New York,10014
Bleeker Farm,272 Bleecker St,New York,10014
Blizzard Beverage,149-17 9th Ave,Whitestone,11357
Blue Star Deli,715 Lorimer St,Brooklyn,11211
Bolla - Caton & Coneycar Care Ctr,378 Coney Island Ave,Brooklyn,11218
Bolla - Hamilton Ave Station Inc,375 Hamilton Ave,Brooklyn,11231
Bolla - Harrys Friendly Car Care,2402 Knapp St,Brooklyn,11235
Bolla - Kings 65 Station Inc,605 65th St,Brooklyn,11220
Bolla - Kings Atlantic C-store Inc,1143 Atlantic Ave,Brooklyn,11216
Bolla - Kings Bay Car Care Inc.,5025 Bay Parkway,Brooklyn,11230
Bolla - Kings Bay Street,231 Bay St,Staten Island,10301
Bolla - Kings Coney Car Care Inc,2624 Coney Island Ave,Brooklyn,11223
